time_iso8601,stars_cumulative
2018-11-28 00:00:00+00:00,287
2018-12-08 00:00:00+00:00,288
2018-12-14 00:00:00+00:00,290
2018-12-16 00:00:00+00:00,291
2018-12-17 00:00:00+00:00,293
2019-01-08 00:00:00+00:00,294
2019-01-09 00:00:00+00:00,295
2019-01-12 00:00:00+00:00,296
2019-01-15 00:00:00+00:00,298
2019-01-16 00:00:00+00:00,299
2019-01-17 00:00:00+00:00,301
2019-01-18 00:00:00+00:00,302
2019-01-21 00:00:00+00:00,303
2019-01-25 00:00:00+00:00,304
2019-01-26 00:00:00+00:00,306
2019-01-28 00:00:00+00:00,310
2019-01-29 00:00:00+00:00,312
2019-02-01 00:00:00+00:00,313
2019-02-02 00:00:00+00:00,314
2019-02-05 00:00:00+00:00,315
2019-02-10 00:00:00+00:00,316
2019-02-14 00:00:00+00:00,319
2019-02-15 00:00:00+00:00,320
2019-02-22 00:00:00+00:00,321
2019-02-27 00:00:00+00:00,322
2019-03-01 00:00:00+00:00,323
2019-03-02 00:00:00+00:00,325
2019-03-04 00:00:00+00:00,326
2019-03-06 00:00:00+00:00,328
2019-03-07 00:00:00+00:00,330
2019-03-08 00:00:00+00:00,331
2019-03-10 00:00:00+00:00,332
2019-03-11 00:00:00+00:00,333
2019-03-12 00:00:00+00:00,334
2019-03-14 00:00:00+00:00,335
2019-03-20 00:00:00+00:00,336
2019-03-22 00:00:00+00:00,338
2019-03-25 00:00:00+00:00,339
2019-03-27 00:00:00+00:00,340
2019-03-28 00:00:00+00:00,341
2019-03-31 00:00:00+00:00,342
2019-04-03 00:00:00+00:00,343
2019-04-05 00:00:00+00:00,344
2019-04-07 00:00:00+00:00,345
2019-04-09 00:00:00+00:00,346
2019-04-10 00:00:00+00:00,349
2019-04-12 00:00:00+00:00,350
2019-04-16 00:00:00+00:00,351
2019-04-17 00:00:00+00:00,352
2019-04-18 00:00:00+00:00,354
2019-04-24 00:00:00+00:00,355
2019-05-05 00:00:00+00:00,356
2019-05-10 00:00:00+00:00,357
2019-05-16 00:00:00+00:00,358
2019-05-17 00:00:00+00:00,359
2019-05-23 00:00:00+00:00,360
2019-05-25 00:00:00+00:00,361
2019-05-27 00:00:00+00:00,362
2019-06-04 00:00:00+00:00,363
2019-06-05 00:00:00+00:00,364
2019-06-15 00:00:00+00:00,365
2019-06-16 00:00:00+00:00,366
2019-06-17 00:00:00+00:00,367
2019-06-18 00:00:00+00:00,368
2019-06-20 00:00:00+00:00,369
2019-06-24 00:00:00+00:00,371
2019-06-27 00:00:00+00:00,373
2019-07-01 00:00:00+00:00,375
2019-07-02 00:00:00+00:00,376
2019-07-03 00:00:00+00:00,378
2019-07-08 00:00:00+00:00,379
2019-07-10 00:00:00+00:00,380
2019-07-12 00:00:00+00:00,381
2019-07-15 00:00:00+00:00,384
2019-07-16 00:00:00+00:00,388
2019-07-24 00:00:00+00:00,391
2019-07-25 00:00:00+00:00,392
2019-07-29 00:00:00+00:00,393
2019-08-01 00:00:00+00:00,396
2019-08-07 00:00:00+00:00,397
2019-08-08 00:00:00+00:00,398
2019-08-18 00:00:00+00:00,399
2019-08-19 00:00:00+00:00,401
2019-08-20 00:00:00+00:00,402
2019-08-22 00:00:00+00:00,403
2019-08-25 00:00:00+00:00,404
2019-08-27 00:00:00+00:00,405
2019-08-28 00:00:00+00:00,406
2019-08-29 00:00:00+00:00,407
2019-09-02 00:00:00+00:00,408
2019-09-03 00:00:00+00:00,410
2019-09-05 00:00:00+00:00,412
2019-09-07 00:00:00+00:00,413
2019-09-09 00:00:00+00:00,414
